param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user noop-try-setoid-rewrite-regression-cubic-real noop-try-setoid-rewrite-regression-cubic-sys noop-try-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0.001 0. 0.001 0.001 0. 0.001
1 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
2 0.004 0. 0.004 0. 0. 0. 0.001 0.001 0. 0.001 0.001 0. 0.004 0. 0.004 0.003 0. 0.003
10 0.019 0.014 0.005 0.006 0.006 0. 0.006 0.001 0.005 0.005 0.004 0.001 0.02 0.006 0.014 0.013 0.008 0.004
20 0.09 0.013 0.076 0.008 0. 0.008 0.013 0. 0.013 0.021 0.011 0.01 0.093 0.015 0.078 0.082 0.013 0.068
30 0.074 0. 0.074 0.018 0. 0.018 0.035 0. 0.035 0.088 0.016 0.072 0.089 0. 0.089 0.055 0. 0.055
40 0.149 0.003 0.146 0.034 0. 0.034 0.068 0. 0.068 0.068 0. 0.068 0.192 0. 0.191 0.114 0.003 0.111
50 0.316 0.037 0.278 0.052 0. 0.052 0.13 0. 0.13 0.195 0.036 0.159 0.359 0.024 0.333 0.263 0.036 0.226
60 0.389 0.004 0.384 0.081 0. 0.08 0.201 0. 0.201 0.208 0. 0.208 0.478 0. 0.477 0.308 0.004 0.303
70 0.524 0. 0.524 0.105 0. 0.105 0.311 0. 0.311 0.322 0. 0.321 0.726 0. 0.726 0.418 0. 0.418
80 0.747 0. 0.747 0.136 0. 0.136 0.489 0. 0.489 0.464 0.003 0.46 1.08 0. 1.079 0.61 0. 0.61
90 0.95 0. 0.946 0.162 0. 0.162 0.678 0.008 0.67 0.654 0. 0.653 1.536 0.002 1.533 0.787 0. 0.783
100 1.241 0.003 1.237 0.186 0. 0.186 0.854 0. 0.853 0.848 0. 0.848 1.931 0.003 1.926 1.054 0.003 1.05
110 1.601 0.003 1.596 0.231 0. 0.231 1.272 0. 1.272 1.167 0. 1.167 2.688 0. 2.688 1.368 0.003 1.365
120 1.976 0.004 1.971 0.247 0. 0.246 1.463 0. 1.463 1.505 0. 1.505 3.104 0. 3.104 1.728 0.004 1.724
130 2.369 0.003 2.365 0.291 0. 0.291 1.815 0. 1.814 1.91 0. 1.91 3.911 0.003 3.906 2.078 0.003 2.073
140 2.92 0.003 2.915 0.351 0. 0.351 2.373 0. 2.373 2.37 0. 2.369 4.934 0.012 4.92 2.567 0.003 2.562
150 3.617 0.005 3.611 0.411 0. 0.411 2.898 0. 2.897 2.872 0.001 2.869 6.099 0.016 6.08 3.205 0.004 3.199
160 4.32 0. 4.319 0.492 0. 0.492 3.565 0.004 3.561 3.557 0.003 3.553 7.368 0.012 7.355 3.827 0. 3.826
170 5.093 0.006 5.085 0.492 0. 0.492 4.029 0.003 4.024 4.268 0. 4.266 8.468 0.012 8.455 4.599 0.006 4.592
180 5.792 0.008 5.781 0.554 0. 0.554 4.878 0. 4.877 5.065 0. 5.064 10.018 0.008 10.009 5.237 0.008 5.226
190 6.781 0. 6.778 0.635 0. 0.634 5.714 0.007 5.703 5.835 0.003 5.83 11.995 0. 11.993 6.145 0. 6.142
200 7.749 0.019 7.727 0.669 0. 0.669 6.87 0. 6.868 6.919 0. 6.916 13.743 0.02 13.715 7.079 0.019 7.057
210 9.022 0.004 9.016 0.739 0. 0.738 7.744 0. 7.736 8.288 0.008 8.276 15.761 0. 15.756 8.283 0.004 8.277
220 9.948 0.016 9.93 0.811 0. 0.811 8.912 0.008 8.903 9.155 0. 9.153 18.132 0.012 18.117 9.136 0.016 9.118
230 11.396 0. 11.394 0.906 0. 0.905 10.468 0. 10.467 10.552 0.004 10.546 20.682 0.011 20.666 10.49 0. 10.488
240 12.771 0. 12.768 0.961 0. 0.966 11.545 0.003 11.54 12.092 0. 12.09 23.58 0. 23.577 11.809 0. 11.801
250 14.422 0. 14.42 1.071 0. 1.071 13.298 0. 13.297 13.368 0. 13.365 26.888 0.004 26.879 13.35 0. 13.348
300 24.423 0. 24.417 1.605 0. 1.604 23.414 0.02 23.389 22.796 0.016 22.776 45.585 0.02 45.542 22.817 0. 22.811
400 57.342 0.036 57.29 2.689 0. 2.688 54.594 0.056 54.527 56.317 0.032 56.275 110.355 0.032 110.281 54.652 0.036 54.6
