param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
28 0.025 0. 0.024 0.012 0. 0.012 0.011 0. 0.011 0. 0. 0.
29 0.028 0. 0.028 0.013 0. 0.013 0.014 0. 0.014 0. 0. 0.
30 0.026 0. 0.026 0.014 0. 0.014 0.011 0. 0.011 0. 0. 0.
31 0.029 0.003 0.026 0.014 0. 0.014 0.014 0.003 0.01 0. 0. 0.
32 0.029 0. 0.029 0.016 0. 0.016 0.012 0. 0.012 0. 0. 0.
33 0.035 0. 0.035 0.017 0. 0.017 0.017 0. 0.017 0. 0. 0.
34 0.033 0. 0.033 0.018 0. 0.018 0.014 0. 0.014 0. 0. 0.
35 0.036 0. 0.036 0.019 0. 0.019 0.016 0. 0.016 0. 0. 0.
36 0.039 0. 0.039 0.023 0. 0.023 0.015 0. 0.015 0. 0. 0.
37 0.039 0. 0.039 0.021 0. 0.021 0.017 0. 0.017 0. 0. 0.
38 0.043 0. 0.043 0.022 0. 0.022 0.019 0. 0.019 0. 0. 0.
39 0.045 0. 0.045 0.026 0. 0.026 0.018 0. 0.018 0. 0. 0.
40 0.045 0. 0.045 0.025 0. 0.025 0.019 0. 0.019 0. 0. 0.
41 0.05 0. 0.05 0.027 0. 0.027 0.022 0. 0.022 0. 0. 0.
42 0.054 0. 0.054 0.031 0. 0.031 0.022 0. 0.022 0. 0. 0.
43 0.059 0. 0.059 0.031 0. 0.031 0.027 0. 0.027 0. 0. 0.
44 0.06 0. 0.06 0.036 0. 0.036 0.023 0. 0.023 0. 0. 0.
45 0.059 0. 0.059 0.034 0. 0.034 0.023 0. 0.023 0. 0. 0.
46 0.062 0. 0.062 0.036 0. 0.036 0.024 0. 0.024 0. 0. 0.
47 0.063 0. 0.063 0.036 0. 0.036 0.026 0. 0.026 0. 0. 0.
48 0.068 0. 0.068 0.04 0. 0.04 0.027 0. 0.027 0. 0. 0.
49 0.07 0.003 0.067 0.041 0.003 0.038 0.028 0. 0.028 0. 0. 0.
50 0.148 0.025 0.123 0.037 0. 0.041 0.11 0.024 0.081 0. 0. 0.
51 0.077 0. 0.077 0.041 0. 0.041 0.035 0. 0.035 0. 0. 0.
52 0.077 0. 0.077 0.044 0. 0.044 0.032 0. 0.032 0. 0. 0.
53 0.086 0. 0.085 0.052 0. 0.051 0.033 0. 0.033 0. 0. 0.
54 0.086 0. 0.086 0.047 0. 0.047 0.033 0. 0.033 0.005 0. 0.005
55 0.086 0. 0.086 0.05 0. 0.05 0.035 0. 0.035 0. 0. 0.
56 0.09 0. 0.089 0.053 0. 0.053 0.035 0. 0.035 0. 0. 0.
57 0.096 0. 0.096 0.053 0. 0.053 0.041 0. 0.041 0. 0. 0.
58 0.093 0. 0.093 0.054 0. 0.054 0.038 0. 0.038 0. 0. 0.
59 0.099 0. 0.099 0.057 0. 0.057 0.041 0. 0.041 0. 0. 0.
60 0.104 0. 0.104 0.058 0. 0.058 0.045 0. 0.045 0. 0. 0.
61 0.115 0. 0.115 0.061 0. 0.061 0.053 0. 0.053 0. 0. 0.
62 0.111 0.003 0.107 0.063 0.003 0.059 0.046 0. 0.046 0. 0. 0.
63 0.113 0. 0.113 0.065 0. 0.065 0.047 0. 0.047 0. 0. 0.
64 0.116 0. 0.116 0.065 0. 0.065 0.05 0. 0.05 0. 0. 0.
65 0.117 0. 0.117 0.069 0. 0.069 0.046 0. 0.046 0. 0. 0.
66 0.12 0. 0.12 0.07 0. 0.07 0.049 0. 0.049 0. 0. 0.
67 0.13 0. 0.13 0.076 0. 0.076 0.053 0. 0.053 0. 0. 0.
68 0.137 0. 0.137 0.076 0. 0.076 0.059 0. 0.059 0. 0. 0.
69 0.138 0. 0.138 0.078 0. 0.078 0.059 0. 0.059 0. 0. 0.
70 0.138 0.003 0.134 0.08 0.003 0.076 0.057 0. 0.057 0. 0. 0.
71 0.144 0. 0.144 0.083 0. 0.083 0.06 0. 0.06 0. 0. 0.
72 0.157 0. 0.157 0.093 0. 0.093 0.063 0. 0.063 0. 0. 0.
73 0.157 0. 0.157 0.092 0. 0.097 0.063 0. 0.059 0. 0. 0.
74 0.158 0. 0.158 0.093 0. 0.093 0.063 0. 0.063 0. 0. 0.
75 0.158 0. 0.158 0.092 0. 0.092 0.065 0. 0.065 0. 0. 0.
76 0.158 0. 0.158 0.093 0. 0.093 0.063 0. 0.063 0. 0. 0.
77 0.161 0. 0.161 0.091 0. 0.091 0.068 0. 0.068 0. 0. 0.
78 0.169 0.003 0.165 0.097 0.003 0.093 0.07 0. 0.07 0. 0. 0.
79 0.177 0. 0.177 0.104 0. 0.104 0.071 0. 0.071 0. 0. 0.
80 0.173 0. 0.173 0.1 0. 0.1 0.072 0. 0.072 0. 0. 0.
81 0.181 0. 0.181 0.107 0. 0.107 0.073 0. 0.073 0. 0. 0.
82 0.186 0. 0.186 0.108 0. 0.108 0.076 0. 0.076 0. 0. 0.
83 0.187 0. 0.187 0.109 0. 0.109 0.076 0. 0.076 0. 0. 0.
84 0.2 0.003 0.196 0.112 0. 0.112 0.087 0.003 0.083 0. 0. 0.
85 0.198 0.003 0.194 0.11 0.003 0.106 0.087 0. 0.087 0. 0. 0.
86 0.208 0. 0.208 0.125 0. 0.124 0.082 0. 0.082 0. 0. 0.
87 0.212 0. 0.212 0.121 0. 0.121 0.088 0. 0.088 0. 0. 0.
88 0.233 0. 0.233 0.14 0. 0.14 0.091 0. 0.091 0. 0. 0.
89 0.237 0. 0.237 0.142 0. 0.142 0.093 0. 0.093 0. 0. 0.
90 0.245 0. 0.245 0.141 0. 0.141 0.103 0. 0.103 0. 0. 0.
91 0.259 0. 0.258 0.152 0. 0.152 0.106 0. 0.105 0. 0. 0.
92 0.26 0.003 0.256 0.165 0.003 0.161 0.094 0. 0.094 0. 0. 0.
93 0.283 0.004 0.279 0.164 0.003 0.159 0.118 0. 0.117 0. 0. 0.
94 0.267 0.003 0.263 0.162 0.003 0.158 0.104 0. 0.104 0. 0. 0.
95 0.267 0. 0.267 0.161 0. 0.161 0.104 0. 0.104 0. 0. 0.
96 0.255 0. 0.255 0.151 0. 0.151 0.102 0. 0.102 0. 0. 0.
97 0.262 0. 0.262 0.155 0. 0.154 0.105 0. 0.105 0. 0. 0.
98 0.301 0.004 0.297 0.183 0.004 0.179 0.116 0. 0.116 0. 0. 0.
99 0.27 0.003 0.266 0.153 0.003 0.148 0.116 0. 0.116 0. 0. 0.
100 0.292 0.003 0.289 0.182 0.003 0.178 0.11 0. 0.11 0. 0. 0.
110 0.35 0.003 0.345 0.206 0.003 0.202 0.142 0. 0.142 0. 0. 0.
120 0.398 0.004 0.394 0.232 0. 0.232 0.164 0.004 0.16 0. 0. 0.
130 0.484 0. 0.484 0.293 0. 0.293 0.189 0. 0.189 0. 0. 0.
140 0.586 0. 0.585 0.365 0. 0.364 0.219 0. 0.219 0. 0. 0.
150 0.641 0.007 0.633 0.385 0.003 0.382 0.254 0.003 0.25 0. 0. 0.
160 0.737 0. 0.737 0.44 0. 0.44 0.295 0. 0.295 0. 0. 0.
170 0.85 0. 0.85 0.505 0. 0.505 0.343 0. 0.343 0. 0. 0.
180 0.914 0. 0.914 0.518 0. 0.518 0.394 0. 0.394 0. 0. 0.
190 0.998 0. 0.998 0.588 0. 0.588 0.408 0. 0.408 0. 0. 0.
200 1.12 0.008 1.112 0.643 0.004 0.639 0.476 0.004 0.471 0. 0. 0.
210 1.194 0. 1.193 0.676 0. 0.676 0.515 0. 0.515 0. 0. 0.
220 1.41 0. 1.409 0.831 0. 0.831 0.576 0. 0.576 0. 0. 0.
230 1.456 0.007 1.448 0.833 0.007 0.826 0.62 0. 0.62 0. 0. 0.
240 1.531 0. 1.531 0.887 0. 0.887 0.642 0. 0.642 0. 0. 0.
250 1.755 0.013 1.741 1. 0. 1. 0.753 0.013 0.74 0. 0. 0.
260 2.17 0. 2.17 1.146 0. 1.145 1.022 0. 1.022 0. 0. 0.
270 1.948 0. 1.947 1.101 0. 1.1 0.845 0. 0.845 0. 0. 0.
280 2.108 0.002 2.105 1.258 0. 1.258 0.847 0.001 0.846 0. 0. 0.
290 2.305 0. 2.304 1.329 0. 1.329 0.973 0. 0.972 0. 0. 0.
300 2.481 0.019 2.462 1.433 0.015 1.417 1.047 0.003 1.043 0. 0. 0.
310 2.563 0. 2.563 1.481 0. 1.481 1.079 0. 1.079 0. 0. 0.
320 2.807 0. 2.807 1.636 0. 1.635 1.169 0. 1.169 0. 0. 0.
330 3.034 0. 3.034 1.782 0. 1.782 1.25 0. 1.25 0. 0. 0.
340 3.159 0. 3.159 1.78 0. 1.78 1.376 0. 1.376 0. 0. 0.
350 3.396 0. 3.396 2.032 0. 2.032 1.363 0. 1.363 0. 0. 0.
360 3.562 0.007 3.554 2.101 0.007 2.093 1.458 0. 1.458 0. 0. 0.
370 3.718 0.016 3.701 2.112 0.016 2.096 1.604 0. 1.603 0. 0. 0.
380 3.94 0.012 3.928 2.326 0. 2.325 1.612 0.012 1.6 0. 0. 0.
390 4.104 0.007 4.095 2.341 0.007 2.333 1.76 0. 1.76 0. 0. 0.
400 4.366 0.019 4.345 2.51 0.007 2.501 1.854 0.011 1.842 0. 0. 0.
