param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user noop-try-setoid-rewrite-regression-cubic-real noop-try-setoid-rewrite-regression-cubic-sys noop-try-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.002 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.001 0.001 0.001 0.
1 0.003 0.003 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.004 0. 0.004 0.003 0.003 0.
2 0.004 0.004 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002 0.006 0. 0.006 0.003 0.003 0.
10 0.026 0.016 0.01 0.007 0. 0.006 0.007 0. 0.007 0.008 0. 0.008 0.025 0.004 0.021 0.019 0.015 0.003
20 0.11 0.004 0.106 0.014 0. 0.013 0.02 0. 0.02 0.024 0. 0.024 0.113 0.011 0.101 0.096 0.003 0.092
30 0.105 0. 0.105 0.028 0. 0.028 0.043 0. 0.043 0.099 0.007 0.092 0.124 0. 0.123 0.076 0. 0.076
40 0.203 0. 0.203 0.053 0. 0.053 0.085 0. 0.085 0.082 0. 0.082 0.225 0. 0.225 0.15 0. 0.149
50 0.385 0.017 0.367 0.081 0. 0.081 0.148 0. 0.148 0.21 0.035 0.174 0.437 0.024 0.413 0.303 0.016 0.286
60 0.476 0. 0.474 0.11 0. 0.11 0.242 0. 0.242 0.242 0. 0.242 0.601 0. 0.6 0.365 0. 0.364
70 0.712 0.008 0.704 0.146 0. 0.146 0.359 0. 0.359 0.363 0. 0.363 0.908 0. 0.908 0.565 0.008 0.557
80 0.903 0. 0.903 0.178 0. 0.178 0.51 0. 0.51 0.543 0.002 0.54 1.244 0. 1.243 0.724 0. 0.724
90 1.176 0.012 1.161 0.211 0. 0.211 0.718 0. 0.718 0.727 0. 0.727 1.693 0. 1.692 0.963 0.012 0.949
100 1.541 0.003 1.537 0.269 0. 0.268 0.969 0.004 0.964 0.976 0.004 0.97 2.228 0.003 2.223 1.271 0.003 1.268
110 1.879 0.007 1.87 0.296 0. 0.296 1.222 0. 1.221 1.298 0.004 1.293 2.841 0.003 2.837 1.582 0.007 1.573
120 2.348 0.007 2.339 0.364 0. 0.364 1.587 0.004 1.583 1.707 0. 1.706 3.528 0.016 3.51 1.982 0.007 1.974
130 2.841 0.008 2.832 0.439 0. 0.439 1.974 0. 1.974 2.11 0. 2.109 4.336 0.008 4.326 2.401 0.008 2.392
140 3.522 0.007 3.514 0.523 0. 0.523 2.534 0. 2.534 2.59 0. 2.589 5.583 0. 5.581 2.998 0.007 2.989
150 4.281 0.007 4.273 0.546 0. 0.545 3.08 0. 3.079 3.114 0. 3.113 6.694 0.004 6.687 3.734 0.007 3.726
160 5.047 0.007 5.038 0.614 0. 0.614 3.634 0. 3.633 3.882 0.003 3.877 7.952 0.028 7.923 4.432 0.007 4.423
170 5.673 0.004 5.667 0.684 0. 0.683 4.416 0. 4.415 4.679 0. 4.678 9.213 0.008 9.204 4.988 0.004 4.983
180 6.597 0. 6.596 0.81 0. 0.81 5.419 0.004 5.415 5.562 0.007 5.553 11.246 0. 11.245 5.786 0. 5.785
190 7.95 0.003 7.944 0.852 0. 0.851 6.078 0.004 6.073 6.372 0. 6.371 13.063 0.003 13.058 7.097 0.003 7.092
200 9.038 0.008 9.029 0.996 0. 0.996 7.583 0. 7.582 7.391 0. 7.383 15.739 0.007 15.728 8.04 0.008 8.032
210 10.156 0.012 10.142 1.052 0. 1.052 8.359 0.004 8.354 8.712 0.003 8.706 17.09 0.012 17.076 9.102 0.008 9.087
220 11.713 0. 11.71 1.197 0. 1.197 9.469 0.003 9.464 9.977 0. 9.975 20.136 0. 20.134 10.514 0. 10.512
230 12.963 0.011 12.946 1.251 0. 1.251 11.296 0. 11.294 11.416 0.007 11.406 22.982 0.003 22.976 11.71 0.011 11.693
240 15.021 0.004 15.014 1.354 0. 1.354 12.372 0. 12.371 13.007 0.004 13.001 25.936 0.004 25.929 13.665 0.004 13.658
250 16.585 0.004 16.579 1.513 0. 1.512 14.577 0. 14.576 14.787 0. 14.786 29.802 0.003 29.795 15.071 0.004 15.065
300 29.088 0.008 29.075 2.226 0. 2.227 25.184 0.008 25.173 25.996 0.032 25.96 51.561 0.028 51.524 26.86 0.008 26.847
400 68.89 0.04 68.839 3.929 0. 3.928 62.845 0.036 62.78 65.124 0.027 65.076 129.689 0.036 129.639 64.959 0.04 64.909
