param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user noop-try-setoid-rewrite-regression-cubic-real noop-try-setoid-rewrite-regression-cubic-sys noop-try-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0.001 0. 0.001 0.001 0.001 0.
1 0.003 0.001 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0.001 0.
2 0.004 0. 0.004 0.001 0. 0.001 0.001 0. 0.001 0.001 0.001 0. 0.004 0. 0.004 0.003 0. 0.003
10 0.02 0.008 0.012 0.005 0.004 0. 0.006 0. 0.006 0.007 0. 0.007 0.02 0.004 0.016 0.014 0.003 0.01
20 0.098 0.024 0.074 0.009 0. 0.009 0.014 0. 0.014 0.021 0.004 0.017 0.1 0.007 0.092 0.088 0.024 0.064
30 0.086 0. 0.086 0.02 0. 0.02 0.039 0. 0.039 0.092 0.019 0.073 0.101 0. 0.101 0.065 0. 0.065
40 0.163 0. 0.163 0.037 0. 0.037 0.081 0. 0.081 0.078 0. 0.077 0.199 0. 0.199 0.126 0. 0.126
50 0.308 0.028 0.28 0.052 0. 0.052 0.146 0. 0.146 0.211 0.015 0.196 0.398 0.025 0.373 0.255 0.027 0.227
60 0.393 0. 0.393 0.081 0. 0.081 0.239 0. 0.238 0.228 0. 0.228 0.567 0.002 0.564 0.311 0. 0.311
70 0.572 0. 0.572 0.113 0. 0.113 0.355 0. 0.355 0.355 0. 0.355 0.838 0.008 0.829 0.458 0. 0.458
80 0.786 0.003 0.783 0.129 0. 0.129 0.518 0. 0.518 0.516 0. 0.516 1.207 0. 1.207 0.657 0.003 0.653
90 1.051 0.003 1.047 0.164 0. 0.164 0.738 0. 0.737 0.725 0. 0.725 1.647 0.007 1.639 0.886 0.003 0.882
100 1.366 0. 1.365 0.197 0. 0.197 0.984 0. 0.984 0.996 0. 0.995 2.184 0.005 2.178 1.168 0. 1.167
110 1.756 0.004 1.752 0.237 0. 0.237 1.322 0. 1.321 1.296 0. 1.295 2.874 0.012 2.861 1.518 0.004 1.514
120 2.116 0.004 2.111 0.256 0. 0.256 1.648 0. 1.647 1.661 0. 1.66 3.481 0.003 3.476 1.858 0.004 1.854
130 2.581 0.004 2.577 0.301 0. 0.301 2.032 0. 2.032 2.103 0. 2.103 4.353 0.011 4.339 2.279 0.004 2.275
140 3.193 0.007 3.185 0.373 0. 0.373 2.65 0. 2.647 2.612 0. 2.611 5.55 0.007 5.54 2.82 0.007 2.812
150 3.947 0.008 3.938 0.418 0. 0.418 3.224 0. 3.224 3.249 0. 3.248 6.842 0.011 6.829 3.528 0.007 3.519
160 4.771 0.008 4.762 0.479 0. 0.479 3.927 0. 3.926 3.895 0.004 3.89 8.213 0.003 8.207 4.292 0.008 4.283
170 5.552 0.024 5.527 0.503 0. 0.502 4.552 0.003 4.545 4.7 0. 4.692 9.468 0.016 9.448 5.049 0.024 5.024
180 6.283 0.007 6.274 0.564 0. 0.564 5.533 0. 5.532 5.55 0.003 5.545 11.262 0.008 11.251 5.718 0.007 5.709
190 7.371 0.003 7.366 0.669 0.003 0.665 6.307 0. 6.305 6.525 0. 6.524 13.223 0. 13.215 6.701 0. 6.701
200 8.522 0.012 8.508 0.698 0. 0.698 7.682 0.004 7.675 7.634 0.002 7.63 15.28 0.012 15.264 7.823 0.012 7.81
210 9.892 0. 9.891 0.765 0. 0.765 8.556 0.004 8.551 8.846 0. 8.844 17.445 0.007 17.433 9.126 0. 9.124
220 10.978 0.007 10.969 0.834 0. 0.834 9.81 0. 9.809 10.157 0. 10.156 20.227 0.004 20.22 10.143 0.007 10.133
230 12.661 0. 12.658 0.964 0. 0.963 11.585 0. 11.583 11.586 0. 11.585 22.885 0.003 22.878 11.695 0. 11.693
240 14.117 0. 14.116 0.997 0. 0.996 12.77 0.004 12.765 13.24 0. 13.239 26.242 0. 26.239 13.12 0. 13.118
250 15.906 0.003 15.899 1.088 0. 1.088 14.839 0.008 14.828 14.699 0. 14.697 29.694 0. 29.689 14.816 0.003 14.81
300 27. 0. 26.995 1.651 0. 1.651 25.301 0.028 25.268 25.093 0.003 25.086 51.752 0.02 51.721 25.348 0. 25.343
400 63.837 0.04 63.788 2.911 0.004 2.906 61.47 0.028 61.411 61.602 0.032 61.559 121.762 0.02 121.721 60.924 0.036 60.88
